gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
25,2,7,13.89,0.3675,8.33,0.31,5.56,0.3675,9.730175,13.89,0.295,8.33,0.3233,0,0,6.790639,16.520814
25,3,10,13.89,0.31,11.11,0.295,8.33,0.3233,10.276439,13.89,0.3675,5.56,0.3675,0,0,7.147875,17.424314
25,4,7,11.11,0.3233,11.11,0.3233,8.33,0.3233,9.876815,11.11,0.295,13.89,0.31,5.56,0.3233,9.380898,19.257713
26,1,10,13.89,0.3233,11.11,0.3233,5.56,0.295,9.7227,13.89,0.3675,8.33,0.3233,5.56,0.31,9.521264,19.243964
26,2,7,11.11,0.31,13.89,0.3233,11.11,0.3675,12.017662,11.11,0.295,13.89,0.3675,8.33,0.295,10.839375,22.857037
26,3,3,11.11,0.3233,8.33,0.295,5.56,0.3675,8.092513,13.89,0.3233,5.56,0.3233,2.78,0.3233,7.186959,15.279472
26,4,4,11.11,0.31,13.89,0.31,8.33,0.3675,10.811275,13.89,0.3233,2.78,0.295,0,0.31,5.310737,16.122012
27,1,7,13.89,0.3233,11.11,0.3675,5.56,0.3233,10.37111,8.33,0.31,11.11,0.3675,5.56,0.3233,8.462773,18.833883
27,2,7,13.89,0.3233,5.56,0.3675,5.56,0.295,8.174137,11.11,0.31,13.89,0.295,8.33,0.3233,10.234739,18.408876
27,3,10,8.33,0.31,13.89,0.3675,8.33,0.31,10.269175,11.11,0.3233,13.89,0.3233,5.56,0.3233,9.880048,20.149223
27,4,4,11.11,0.295,8.33,0.31,0,0.31,5.85975,13.89,0.295,8.33,0.3675,5.56,0.295,8.799025,14.658775
28,1,6,11.11,0.3233,13.89,0.3675,8.33,0.31,11.278738,11.11,0.295,8.33,0.3233,0,20.295,5.970539,17.249277
28,2,10,11.11,0.31,13.89,0.3233,11.11,0.295,11.212187,13.89,0.3675,8.33,0.295,5.56,0.3233,9.359473,20.57166
28,3,5,11.11,0.31,13.89,0.31,8.33,0.3233,10.443089,13.89,0.3233,5.56,0.3675,2.78,0.295,7.354037,17.797126
