gameNum,player,points,won,s1v1,s1r1,s1tile1,s1v2,s1r2,s1tile2,s1v3,s1r3,s1tile3,s1tot,s2v1,s2r1,s2tile1,s2v2,s2r2,s2tile2,s2v3,s2r3,s2tile3,s2tot,stot
17,3,5,0,8.33,0.31,2.5823,13.89,0.295,4.09755,8.33,0.3675,3.061275,9.741125,13.89,0.3675,5.104575,11.11,0.3233,3.591863,5.56,0.3233,1.797548,10.493986,20.235111
17,4,10,1,11.11,0.3675,4.082925,11.11,0.31,3.4441,8.33,0.3675,3.061275,10.5883,11.11,0.3233,3.591863,8.33,0.3233,2.693089,5.56,0.295,1.6402,7.925152,18.513452
18,1,6,0,8.33,0.3675,3.061275,13.89,0.31,4.3059,8.33,0.3233,2.693089,10.060264,11.11,0.31,3.4441,8.33,0.3233,2.693089,2.78,0.3233,0.898774,7.035963,17.096227
18,2,9,0,11.11,0.3233,3.591863,13.89,0.3233,4.490637,8.33,0.3233,2.693089,10.775589,13.89,0.31,4.3059,5.56,0.3675,2.0433,5.56,0.295,1.6402,7.9894,18.764989
18,3,6,0,13.89,0.3233,4.490637,8.33,0.3675,3.061275,0,0.31,0,7.551912,11.11,0.295,3.27745,13.89,0.31,4.3059,2.78,0.31,0.8618,8.44515,15.997062
18,4,10,1,13.89,0.295,4.09755,11.11,0.31,3.4441,5.56,0.3675,2.0433,9.58495,11.11,0.295,3.27745,11.11,0.3233,3.591863,8.33,0.3233,2.693089,9.562402,19.147352
19,1,10,1,11.11,0.3233,3.591863,11.11,0.3675,4.082925,8.33,0.3675,3.061275,10.736063,5.56,0.3233,1.797548,8.33,0.295,2.45735,5.56,0.3233,1.797548,6.052446,16.788509
19,2,4,0,11.11,0.3233,3.591863,13.89,0.31,4.3059,8.33,0.295,2.45735,10.355113,8.33,0.31,2.5823,11.11,0.3675,4.082925,5.56,0.3233,1.797548,8.462773,18.817886
19,3,5,0,13.89,0.295,4.09755,11.11,0.3675,4.082925,5.56,0.3233,1.797548,9.978023,13.89,0.31,4.3059,8.33,0.295,2.45735,5.56,0.3233,1.797548,8.560798,18.538821
19,4,8,0,8.33,0.31,2.5823,13.89,0.3675,5.104575,8.33,0.3675,3.061275,10.74815,11.11,0.3233,3.591863,13.89,0.31,4.3059,5.56,0.3233,1.797548,9.695311,20.443461
20,1,6,0,8.33,0.3675,3.061275,13.89,0.31,4.3059,8.33,0.3233,2.693089,10.060264,5.56,0.3675,2.0433,8.33,0.295,2.45735,5.56,0.31,1.7236,6.22425,16.284514
20,2,10,1,13.89,0.295,4.09755,11.11,0.3233,3.591863,5.56,0.3233,1.797548,9.486961,11.11,0.3675,4.082925,13.89,0.31,4.3059,5.56,0.31,1.7236,10.112425,19.599386
20,3,7,0,13.89,0.295,4.09755,8.33,0.3233,2.693089,5.56,0.3675,2.0433,8.833939,11.11,0.3233,3.591863,8.33,0.295,2.45735,2.78,0.3233,0.898774,6.947987,15.781926
20,4,6,0,11.11,0.3675,4.082925,13.89,0.295,4.09755,8.33,0.295,2.45735,10.637825,11.11,0.3675,4.082925,11.11,0.3233,3.591863,8.33,0.3233,2.693089,10.367877,21.005702
21,1,8,0,11.11,0.3675,4.082925,11.11,0.3233,3.591863,8.33,0.3675,3.061275,10.736063,5.56,0.31,1.7236,11.11,0.3233,3.591863,5.56,0.3233,1.797548,7.113011,17.849074
21,2,7,0,13.89,0.295,4.09755,8.33,0.295,2.45735,5.56,0.31,1.7236,8.2785,13.89,0.3233,4.490637,2.78,0.31,0.8618,0,0,0,5.352437,13.630937
21,3,10,1,11.11,0.3233,3.591863,11.11,0.3233,3.591863,8.33,0.295,2.45735,9.641076,11.11,0.3675,4.082925,13.89,0.3675,5.104575,5.56,0.3233,1.797548,10.985048,20.626124
21,4,6,0,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.31,1.7236,9.285525,13.89,0.3233,4.490637,8.33,0.3675,3.061275,5.56,0.31,1.7236,9.275512,18.561037
22,1,9,0,13.89,0.3233,4.490637,8.33,0.295,2.45735,0,0,0,6.947987,11.11,0.295,3.27745,11.11,0.3675,4.082925,8.33,0.31,2.5823,9.942675,16.890662
22,2,10,1,11.11,0.3233,3.591863,13.89,0.3675,5.104575,8.33,0.3233,2.693089,11.389527,13.89,0.31,4.3059,5.56,0.31,1.7236,2.78,0.295,0.8201,6.8496,18.239127
22,3,4,0,11.11,0.3233,3.591863,13.89,0.31,4.3059,5.56,0.3233,1.797548,9.695311,13.89,0.3233,4.490637,8.33,0.31,2.5823,0,0.3233,0,7.072937,16.768248
22,4,6,0,13.89,0.3233,4.490637,8.33,0.3675,3.061275,5.56,0.3675,2.0433,9.595212,13.89,0.31,4.3059,11.11,0.295,3.27745,8.33,0.3233,2.693089,10.276439,19.871651
23,1,4,0,11.11,0.3233,3.591863,13.89,0.3233,4.490637,5.56,0.295,1.6402,9.7227,11.11,0.3233,3.591863,0,0.3233,0,0,0,0,3.591863,13.314563
23,2,7,0,11.11,0.3233,3.591863,13.89,0.3233,4.490637,8.33,0.3233,2.693089,10.775589,8.33,0.295,2.45735,11.11,0.3675,4.082925,5.56,0.295,1.6402,8.180475,18.956064
23,3,10,1,11.11,0.3233,3.591863,11.11,0.295,3.27745,8.33,0.3675,3.061275,9.930588,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.31,1.7236,9.285525,19.216113
23,4,6,0,13.89,0.31,4.3059,11.11,0.3675,4.082925,5.56,0.31,1.7236,10.112425,5.56,0.3233,1.797548,8.33,0.31,2.5823,5.56,0.295,1.6402,6.020048,16.132473
24,1,10,1,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.31,1.7236,8.907326,5.56,0.31,1.7236,11.11,0.295,3.27745,5.56,0.31,1.7236,6.72465,15.631976
24,2,7,0,11.11,0.295,3.27745,8.33,0.3233,2.693089,2.78,0.3675,1.02165,6.992189,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.295,1.6402,8.823926,15.816115
