ID: 0, victoryPoints: 7,  brick: 0, ore: 1, sheep: 2, wheat: 1, wood: 2
ID: 1, victoryPoints: 4,  brick: 2, ore: 1, sheep: 1, wheat: 3, wood: 1
ID: 2, victoryPoints: 2,  brick: 0, ore: 0, sheep: 3, wheat: 1, wood: 3

ID: 0, victoryPoints: 2,  brick: 1, ore: 0, sheep: 1, wheat: 5, wood: 0
ID: 1, victoryPoints: 7,  brick: 0, ore: 0, sheep: 0, wheat: 0, wood: 4
ID: 2, victoryPoints: 3,  brick: 0, ore: 0, sheep: 3, wheat: 8, wood: 0

ID: 0, victoryPoints: 3,  brick: 1, ore: 0, sheep: 3, wheat: 0, wood: 1
ID: 1, victoryPoints: 7,  brick: 0, ore: 0, sheep: 1, wheat: 1, wood: 0
ID: 2, victoryPoints: 2,  brick: 1, ore: 0, sheep: 3, wheat: 1, wood: 2

ID: 0, victoryPoints: 7,  brick: 0, ore: 0, sheep: 0, wheat: 0, wood: 1
